,title,artist,album,album_image,BPM,Camelot,lyrics
10,Everything Will Be Alright,The Killers,Hot Fuss,https://i.scdn.co/image/ab67616d000048519c284a6855f4945dc5a3cd73,128,5A,"doodoo , doodoo i believe in you and me i 'm coming to find you if it takes me all night wrong until you make it right and i wo n't forget you at least i 'll try and run , and run tonight everything will be alright everything will be alright everything will be alright everything will be alright everything will be alright everything will be alright alright , alright , alright , alright i was n't shopping for a doll to say the least , i thought i 'd seen them all but then you took me by surprise i 'm dreaming 'bout those dreamy eyes i never knew , i never knew so take your suitcase , 'cause i do n't mind and baby doll , i meant it every time you do n't need to compromise i 'm dreaming 'bout those dreamy eyes i never knew , i never knew but it 's alright , alright everything will be alright everything will be alright everything will be alright everything will be alright everything will be alright everything will be alright everything will be alright everything will be alright everything will be alright everything will be alright everything will be alright everything will be alright it will be alright"
11,Sam's Town,The Killers,Sam's Town,https://i.scdn.co/image/ab67616d000048514f87f14089217e3f70a5f39e,141,11A,"nobody ever had a dream round here but i do n't really mind that it 's starting to get to me nobody ever pulls the seams round here but i do n't really mind that it 's starting to get to me i 've got this energy beneath my feet like something underground 's going to come up and carry me i 've got this sentimental heart that beats but i do n't really mind that it 's starting to get to me now why do you waste my time is the answer to the question on your mind and i 'm sick of all my judges so scared of what they 'll find but i know that i can make it as long as somebody takes me home every now and then well have you ever seen the lights have you ever seen the lights i took a shuttle on a shock wave ride where people on the pen pull the trigger for accolades i took a bullet and i looked inside running through my veins an american masquerade i still remember grandma dixie 's wake i 've never really known anybody to die before red , white and blue upon a birthday cake my brother , he was born on the fourth of the july and that 's all so why do you waste my time is the answer to the question on your mind and i 'm sick of all my judges so scared of what they 'll find but i know that i can make it as long as somebody takes me home every now and then every now and then every now and then you know i see london , i see sam 's town holds my hand and lets my hair down rolls that world right off my shoulder i see london , i see sam 's town now"
12,When You Were Young,The Killers,Sam's Town,https://i.scdn.co/image/ab67616d000048514f87f14089217e3f70a5f39e,130,1B,you sit there in your heartache waiting on some beautiful boy to to save you from your old ways you play forgiveness watch it now here he comes he does n't look a thing like jesus but he talks like a gentleman like you imagined when you were young can we climb this mountain i do n't know higher now than ever before i know we can make it if we take it slow let 's take it easy easy now watch it go we 're burning down the highway skyline on the back of a hurricane that started turning when you were young when you were young and sometimes you close your eyes and see the place where you used to live when you were young they say the devil 's water it ai n't so sweet you do n't have to drink right now but you can dip your feet every once in a little while you sit there in your heartache waiting on some beautiful boy to to save you from your old ways you play forgiveness watch it now here he comes he does n't look a thing like jesus but he talks like a gentleman like you imagined when you were young talks like a gentleman like you imagined when you were young i said he does n't look a thing like jesus he does n't look a thing like jesus but more than you 'll ever know
13,Bling (Confession Of A King),The Killers,Sam's Town,https://i.scdn.co/image/ab67616d000048514f87f14089217e3f70a5f39e,113,10A,"when i offer you survival you say it 's hard enough to live it 's not so bad , it 's not so bad how do you know that you 're right i awoke on the roadside in the land of the free ride and i ca n't pull it any longer the sun is beating down my neck so i ran with the devil left a trail of excuses like a stone on the water the elements decide my fate watch it go when i offer you survival you say it 's hard enough to live do n't tell me that it 's over , stand up poor and tired , but more than this how do you know that you 're right if you 're not nervous anymore it 's not so bad , it 's not so bad i feel my vision slipping in and out of focus but i 'm pushing on for that horizon i 'm pushing on now i 've got that blowing wind against my face so you sling rocks at the riptide am i wrong or am i right i hit the bottom with a huh , quite strange i get my glory in the desert rain watch it go when i offer you survival when i offer you survival you say it 's hard enough to live and i 'll tell you when it 's over , shut up poor and tired , but more than this how do you know that you 're right if you 're not nervous anymore it 's not so bad , it 's not so bad higher and higher we 're gon na take it down to the wire we 're gon na make it out of the fire higher and higher , higher and higher we 're gon na take it down to the wire we 're gon na make it out of the fire higher and higher , higher and higher we 're gon na take it down to the wire we 're gon na make it out , whoaohoh higher and higher it ai n't hard to hold when it shines like gold you 'll remember me"
14,For Reasons Unknown,The Killers,Sam's Town,https://i.scdn.co/image/ab67616d000048514f87f14089217e3f70a5f39e,140,5B,"i pack my case . i check my face i look a little bit older i look a little bit colder with one deep breath , and one big step , i move a little bit closer i move a little bit closer for reasons unknown i caught my stride i flew and flied i know if destiny 's kind , i 've got the rest of my mind but my heart , it do n't beat , it do n't beat the way it used to and my eyes , they do n't see you no more and my lips , they do n't kiss , they do n't kiss the way they used to , and my eyes do n't recognize you no more for reasons unknown for reasons unknown there was an open chair we sat down in the open chair i said if destiny 's kind , i 've got the rest of my mind but my heart , it do n't beat , it do n't beat the way it used to and my eyes , they do n't see you no more and my lips , they do n't kiss , they do n't kiss the way they used to , and my eyes do n't recognize you at all for reasons unknown for reasons unknown i said my heart , it do n't beat , it do n't beat the way it used to and my eyes do n't recognize you no more and my lips , they do n't kiss , they do n't kiss the way they used to , and my eyes do n't recognize you no more for reasons unknown for reasons unknown for reasons unknown for reasons unknown"
15,Read My Mind,The Killers,Sam's Town,https://i.scdn.co/image/ab67616d000048514f87f14089217e3f70a5f39e,132,3B,"on the corner of main street just trying to keep it in line you say you wan na move on and you say i 'm falling behind can you read my mind can you read my mind i never really gave up on breaking out of this twostar town i got the green light , i got a little fight i 'm gon na turn this thing around can you read my mind oooh can you read my mind oooh the good old days , the honest man the restless heart , the promised land a subtle kiss that no one sees a broken wrist and a big trapeze oh , well , i do n't mind if you do n't mind 'cause i do n't shine if you do n't shine before you go , can you read my mind it 's funny how you just break down waiting on some sign i pull up to the front of your driveway with magic soaking my spine can you read my mind oooh can you read my mind oooh the teenage queen , the loaded gun the drop dead dream , the chosen one a southern drawl , a world unseen a city wall and a trampoline oh , well , i do n't mind , if you do n't mind 'cause i do n't shine if you do n't shine before you jump , tell me what you find when you read my mind slipping in my faith until i fall he never returned that call woman , open the door , do n't let it sting i wan na breathe that fire again she said , i do n't mind , if you do n't mind i do n't mind , if you do n't mind 'cause i do n't shine if you do n't shine '' i do n't shine if you do n't shine put your back on me , put your back on me i do n't mind , if you do n't mind oh , put your back on me oooh the stars are blazing like rebel diamonds cut out of the sun can you read my mind oooh oooh"
16,Uncle Jonny,The Killers,Sam's Town,https://i.scdn.co/image/ab67616d000048514f87f14089217e3f70a5f39e,174,3A,"when everybody else refrained my uncle jonny did cocaine he 's convinced himself right in his brain that it helps to take away the pain hey , jonny hey what you say jonny i wan na go out tonight come a little closer to the city lights levitation ai n't your only friend levitation coming back again you feel a burning in your body 's core it 's a yearning that you ca n't ignore now i wan na go out tonight ssssuperman and hold on tight he 's convinced himself right in his brain that it helps to take away the pain hey , jonny hey what you say jonny my appetite ai n't got no heart i said my appetite ai n't got no heart shocking people when you feel that pull shock 'em , drop 'em when you know it 's full i feel a burning in my body 's core it 's a yearning that you ca n't ignore now i got ta go out tonight hey jonny i got faith in you man , i mean it , it 's gon na be all right he 's convinced himself right in his brain that it helps to take away the pain hey , jonny hey what you say jonny tell us what 's going on feel 's like everything 's wrong hey what you say jonny if the future is real jonny , you 've got to heal hey what you say jonny when everybody else refrained my uncle jonny did cocaine"
17,Bones,The Killers,Sam's Town,https://i.scdn.co/image/ab67616d000048514f87f14089217e3f70a5f39e,140,11B,"come with me we took a back road we 're gon na look at the stars we took a backroad in my car down to the ocean it 's only water and sand and in the ocean we 'll hold hands but i do n't really like you , apologetically dressed in the best , put on a heartbeat glide without an answer , the thunder speaks for the sky , and on the cold wet dirt i cry and on the cold wet dirt i cry do n't you wan na come with me do n't you wan na feel my bones on your bones it 's only natural a cinematic vision ensued like the holiest dream there 's someone calling an angel whispers my name but the message relayed is the same '' wait till tomorrow , you 'll be fine . '' but it 's gone to the dogs in my mind i always hear them when the dead of night comes calling to save me from this fight but they can never wrong this right do n't you wan na come with me do n't you wan na feel my bones on your bones it 's only natural do n't you wan na swim with me do n't you wan na feel my skin on your skin it 's only natural never had a lover i never had a lover never had soul i never had soul never had a good time and i never had a good time never got cold i never got gold do n't you wan na come with me do n't you wan na feel my bones on your bones it 's only natural do n't you wan na swim with me do n't you wan na feel my skin on your skin it 's only natural do n't you wan na come with me do n't you wan na feel my bones on your bones it 's only natural come and take a swim with me . do n't you wan na feel my skin on your skin it 's only natural"
18,My List,The Killers,Sam's Town,https://i.scdn.co/image/ab67616d000048514f87f14089217e3f70a5f39e,124,6A,let me wrap myself around you let you show me how i see and when you come back in from nowhere do you ever think of me your heart is not able let me show you how much i care i need those eyes to tide me over i 'll take your picture when i go it gives me strength and gives me patience but i 'll never let you know i got nothing on you baby but i always said i try let me show you how much i care 'cause sometimes it gets hard and do n't she know do n't give the ghost up just clench your fist you should have known by now you were on my list do n't give the ghost up just clench your fist you should have known by now you were on my list do n't give the ghost up just clench your fist you should have known by now you were wrong on my list when your heart is not able and your prayers they 're not fables let me show you let me show you let me show you let me show you let me show you how much i care oh
19,This River Is Wild,The Killers,Sam's Town,https://i.scdn.co/image/ab67616d000048514f87f14089217e3f70a5f39e,141,5B,"leaves are fallin ' down on the beautiful ground i heard a story from the man in red he said , the leaves are fallin ' down , such a beautiful sound son , i think you 'd better go ahead '' but you always hold your head up high 'cause it 's a long , long , long way down this town was meant for passing through boy , it ai n't nothin ' new now go and show 'em that the world stayed round but it 's a long , long , long way down you better run for the hills before they burn listen to the sound of the world , do n't watch it turn i just want to show you what i know and catch you when the current lets you go or should i just get along with myself i never did get along with everybody else i 've been trying hard to do what 's right but you know i could stay here all night and watch the clouds fall from the sky well , this river is wild this river is wild run for the hills before they burn listen to the sound of the world , do n't watch it turn i shake a little sometimes i 'm nervous when i talk i shake a little sometimes i hate the line i walk i just wan na to show you what i know and catch you when the current lets you go or should i just get along with myself i never did get along with everybody else i 've been trying hard to do what 's right but you know i could stay here all night and watch the clouds fall from the sky because this river is wild , godspeed ya , boy this river is wild now adam 's taking bombs and he 's stuck on his mom because that bitch keeps trying to make him pray he 's with the hippie in the park , combing over the dark just trying to get some of that littlegirl play you better run for the hills before they burn listen to the sound of the world , do n't watch it turn i just want to show you what i know and catch you when the current lets you go or should i get along with myself i never did get along with everybody else i 've been trying hard to do what 's right but you know i could stay here all night and watch the clouds fall from the sky the pain is hell in me tonight because this river is wild , godspeed ya , boy this river is wild this river is wild , godspeed ya , boy this river is wild now the cars are everywhere , raisin ' dust at the fairground i do n't think i ever seen so many headlights but there 's something pulling me the circus and the crew , well , they 're just passing through making sure the merry still goes 'round but it 's a long , long , long way down"
20,Why Do I Keep Counting?,The Killers,Sam's Town,https://i.scdn.co/image/ab67616d000048514f87f14089217e3f70a5f39e,107,5B,"there 's a plane and i am flying there 's a mountain waiting for me oh these years have been so trying i do n't know if i can use them am i strong enough to be the one am i strong enough to be the one will i live to have some children children help me get down i can make it help me get down help me get down i can make it help me get down if i only knew the answer i would n't be bothering you , father help me get down i can make it help me get down help me get down i can make it help me get down if i only knew the answer and if all our days are numbered then why do i keep counting my sugar sweet is so attainable this behavior so unexplainable the days just slip and slide like they always did the trouble is my head wo n't let me forget i took one last good look around so many unusual sounds i got ta get my feet on the ground help me get down i can make it oh help me get down i can make it , help me get down help me get down i can make it , help me get down if i only knew the answer i would n't be bothering you , father help me get down i can make it , help me get down help me get down i can make it , help me get down if i only knew the answer and if all our days are numbered would you help me get down i can make it , help me get down help me get down i can make it , help me get down if i only knew the answer if i change my way of living and if i pave my streets with good times will the mountain keep on giving and if all of our days are numbered then why do i keep counting"
21,Losing Touch,The Killers,Day & Age (Bonus Tracks),https://i.scdn.co/image/ab67616d00004851a43cd43ef4f3b2d5413b17f9,118,1B,"console me in my darkest hour convince me that the truth is always gray caress me in your velvet chair conceal me from the ghost you cast away i ai n't in no hurry you go run and tell your friends i 'm losing touch fill their heads with rumors of impending doom it must be true console me in my darkest hour and tell me that you always hear my cries i wonder what you 've got conspired i 'm sure it dawns a consolation prize i ai n't in no hurry you go run and tell your friends i 'm losing touch fill the night with stories , the legend grows of how you got lost but you made your way back home you sold your soul like a roamin ' vagabond , yeah i heard you found a wishing well in the city console me in my darkest hour then you throw me down i ai n't in no hurry you go run and tell your friends i 'm losing touch fill your crown with rumors impending doom , it must be true but you made your way back home you sold your soul like a roamin ' vagabond and about how you got lost but you made your way back home you went and sold your soul an allegiance dead and gone i 'm losing touch"
22,Human,The Killers,Day & Age (Bonus Tracks),https://i.scdn.co/image/ab67616d00004851a43cd43ef4f3b2d5413b17f9,135,6B,"i did my best to notice when the call came down the line up to the platform of surrender i was brought , but i was kind and sometimes i get nervous when i see an open door close your eyes , clear your heart cut the cord are we human or are we dancer my sign is vital my hands are cold and i 'm on my knees looking for the answer are we human or are we dancer pay my respects to grace and virtue send my condolences to good give my regards to soul and romance they always did the best they could and so long to devotion you taught me everything i know wave goodbye , wish me well you 've got to let me go are we human or are we dancer my sign is vital my hands are cold and i 'm on my knees looking for the answer are we human or are we dancer will your system be alright when you dream of home tonight there is no message we 're receiving let me know , is your heart still beating are we human or are we dancer my sign is vital my hands are cold and i 'm on my knees looking for the answer you 've got to let me know are we human or are we dancer my sign is vital my hands are cold and i 'm on my knees looking for the answer are we human or are we dancer are we human or are we dancer are we human or are we dancer"
23,Spaceman,The Killers,Day & Age (Bonus Tracks),https://i.scdn.co/image/ab67616d00004851a43cd43ef4f3b2d5413b17f9,152,12B,"it started with a low light next thing i knew , they ripped me from my bed and then they took my blood type it left a strange impression in my head you know that i was hoping that i could leave this starcrossed world behind but when they cut me open i guess i changed my mind and you know , i might have just flown too far from the floor this time 'cause they 're calling me by my name and they 're zipping white light beams disregarding bombs and satellites that was the turning point that was one lonely night the storm maker says , it ai n't so bad '' the dream maker 's gon na make you mad the spaceman says , everybody , look down it 's all in your mind '' well , now i 'm back at home , and i 'm looking forward to this life i live you know it 's gon na haunt me so hesitation to this life i give you think you might cross over you 're caught between the devil and the deep blue sea you 'd better look it over before you make that leap and you know i 'm fine but i hear those voices at night sometimes they justify my claim and the public do n't dwell on my transmission 'cause it was n't televised but it was the turning point oh , what a lonely night the storm maker says , it ai n't so bad '' the dream maker 's gon na make you mad the spaceman says , everybody , look down it 's all in your mind '' the storm maker says , it ai n't so bad '' the dream maker 's gon na make you mad the spaceman says , everybody , look down it 's all in your mind '' my global position systems are vocally addressed they say the nile used to run from east to west they say the nile used to run from east to west i 'm fine but i hear those voices at night sometimes the storm maker says , it ai n't so bad '' the dream maker 's gon na make you mad the spaceman says , everybody , look down it 's all in your mind '' the storm maker says , it ai n't so bad '' the dream maker 's gon na make you mad the spaceman says , everybody , look down it 's all in your mind '' it 's all in my mind it 's all in my mind"
24,Joy Ride,The Killers,Day & Age (Bonus Tracks),https://i.scdn.co/image/ab67616d00004851a43cd43ef4f3b2d5413b17f9,117,8A,it 's getting close to sundown over the sierra stranded on the heat wave burning with desire she was on the sidewalk looking for a nightlife talked about the real thing and drove into the fire headlights on the highway the desert wind is howling rattlesnakes and romance are spilling with the rain candy apple red dress bleeding when she kissed me heaven in a rag top takes away mymy pain when your chips are down when your highs are low joy ride joy ride move across the night like a separate wind joy ride pulled up to a motel vacancy was buzzing pink and dirty neon settled on the hood wrapped her arms around me come a little closer stumbled in the twilight and fell onto the floor of the mona lisa dreaming of the free world lipstick on the nightstand and demons at the door when your chips are down when your highs are low joy ride joy ride move across the night like a separate wind joy ride when your hopes and dreams lose the will to go joy ride joy ride reaching for the light more than we can win joy ride there 's something in the distance a glorious existence a simple celebration a place you never been before why do n't you kiss me tell me that you want it more reaching for the light more than we can win when your chips are down when your chips are down when your highs are low joy ride joy ride all your hopes and dreams all you need to know joy ride joy ride
25,A Dustland Fairytale,The Killers,Day & Age (Bonus Tracks),https://i.scdn.co/image/ab67616d00004851a43cd43ef4f3b2d5413b17f9,134,10B,"a dustland fairytale beginning with just another white trash county kiss in '61 , long brown hair and foolish eyes he looked just like you 'd want him to some kind of slick chrome american prince a blue jean serenade moon river what 'd you do to me i do n't believe you saw cinderella in a party dress but she was looking for a night gown i saw the devil wrapping up his hands he 's getting ready for the showdown i saw the minute that i turned away i got my money on a pawn tonight the change came in disguise of revelation , set his soul on fire she said she 'd always knew he 'd come around and the decades disappear like sinking ships , but we persevere god gives us hope , but we still fear what we do n't know the mind is poison castles in the sky sit stranded vandalized we 're drawbridges closing saw cinderella in a party dress but she was looking for a nightgown i saw the devil wrapping up his hands he 's getting ready for the showdown i saw the ending when they turned the page i threw my money and i ran away straight to the valley of the great divide out where the dreams all hide out where the wind do n't blow out here the good girls die and the sky wo n't snow out here the bird do n't sing out here the field do n't grow out here the bell do n't ring out here the bell do n't ring out here the good girls die now cinderella do n't you go to sleep it 's such a bitter form of refuge why do n't you know the kingdom 's under siege and everybody needs you is there still magic in the midnight sun or did you leave it back in sixtyone in the cadence of a young man 's eyes out where the dreams all hide"
26,This Is Your Life,The Killers,Day & Age (Bonus Tracks),https://i.scdn.co/image/ab67616d00004851a43cd43ef4f3b2d5413b17f9,100,7B,"candy talks to strangers thinks her life 's in danger no one gives a damn about her hair it 's lonely down on track street she used to go by jackie the cops , they 'll steal your dreams and they 'll kill your prayers take a number where the blood just barely dried wait for something better no one behind you watching your shadows this feeling wo n't go crooked wheels keep turning children , are you learning acclimatized , but do n't you lose the plot a history of blisters your brothers and your sisters somewhere in the pages we forgot take a number jackie where the blood just barely dried you know i 'm on your side wait for something better no one behind you watching your shadows you got to be stronger than the story do n't let it blind you rivers are shallow this feeling wo n't go your sky is full of dreams but you do n't know how to fly i do n't have a simple answer but i know that i could answer something better this feeling wo n't go wait for it wait for it wait for it wait for it"
